<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.07	1.19169	1.19899	1.18356	1.19519	256986	0	0
2021.03.14	1.19456	1.19889	1.18741	1.19042	212252	0	0
2021.03.21	1.18793	1.19468	1.17618	1.17932	185954	0	0
2021.03.28	1.17917	1.17938	1.17041	1.17597	159714	0	0
2021.04.04	1.17549	1.19274	1.17378	1.19009	171701	0	0
2021.04.11	1.18792	1.19946	1.18712	1.19811	193888	0	0
2021.04.18	1.19733	1.20999	1.19426	1.20974	195634	0	0
2021.04.25	1.20910	1.21498	1.20166	1.20204	183870	0	0
2021.05.02	1.20263	1.21714	1.19860	1.21618	188087	0	1
2021.05.09	1.21651	1.21815	1.20514	1.21442	257811	0	1
2021.05.16	1.21264	1.22451	1.21261	1.21805	224561	0	1
2021.05.23	1.21763	1.22664	1.21327	1.21894	202621	0	1
2021.05.30	1.21876	1.22544	1.21039	1.21660	179851	0	1
2021.06.06	1.21600	1.22180	1.20926	1.21061	163644	0	1
2021.06.13	1.21039	1.21474	1.18474	1.18594	224455	0	1
2021.06.20	1.18573	1.19752	1.18477	1.19370	226979	0	1
2021.06.27	1.19303	1.19446	1.18072	1.18644	216291	0	1
2021.07.04	1.18593	1.18951	1.17817	1.18772	222284	0	1
2021.07.11	1.18659	1.18802	1.17719	1.18056	217986	0	1
2021.07.18	1.18053	1.18304	1.17520	1.17690	237830	0	1
2021.07.25	1.17672	1.19087	1.17633	1.18730	218783	0	1
2021.08.01	1.18617	1.18996	1.17542	1.17612	184307	0	1
2021.08.08	1.17492	1.18047	1.17060	1.17959	158166	0	1
2021.08.15	1.17944	1.18010	1.16639	1.16996	475260	0	0
2021.08.22	1.16940	1.18024	1.16900	1.17958	422086	0	0
2021.08.29	1.17930	1.19092	1.17828	1.18773	397881	0	0
2021.09.05	1.18757	1.18864	1.18051	1.18109	335922	0	0
2021.09.12	1.18140	1.18458	1.17246	1.17259	381949	0	0
2021.09.19	1.17293	1.17556	1.16836	1.17210	436085	0	0
2021.09.26	1.17166	1.17252	1.15626	1.15929	502818	0	0
2021.10.03	1.15945	1.16401	1.15294	1.15743	416353	0	0
2021.10.10	1.15690	1.16242	1.15245	1.15985	261249	0	0
2021.10.17	1.15981	1.16694	1.15717	1.16441	545072	0	0
2021.10.24	1.16394	1.16920	1.15351	1.15623	510190	0	0
2021.10.31	1.15617	1.16165	1.15133	1.15664	443051	0	0
2021.11.07	1.15613	1.16088	1.14329	1.14434	406037	0	0
2021.11.14	1.14440	1.14640	1.12500	1.12832	373459	0	0
2021.11.21	1.12820	1.13320	1.11859	1.13145	512804	0	0
2021.11.28	1.13064	1.13829	1.12347	1.13088	606911	0	0
2021.12.05	1.13038	1.13547	1.12275	1.13166	400692	0	0
2021.12.12	1.13099	1.13604	1.12214	1.12374	390779	0	0
2021.12.19	1.12359	1.13436	1.12347	1.13100	339916	0	0
2021.12.26	1.13181	1.13863	1.12738	1.13847	262163	0	0
2022.01.02	1.13618	1.13662	1.12724	1.13594	374649	0	0
2022.01.09	1.13554	1.14828	1.12850	1.14163	481767	0	0
2022.01.16	1.14124	1.14345	1.13009	1.13421	575263	0	0
2022.01.23	1.13394	1.13451	1.11214	1.11476	769923	0	0
2022.01.30	1.11449	1.14837	1.11380	1.14520	774657	0	0
2022.02.06	1.14577	1.14949	1.13296	1.13475	367581	0	0
2022.02.13	1.13380	1.13958	1.12798	1.13231	722151	0	0
2022.02.20	1.13228	1.13905	1.11062	1.12722	950301	0	0
2022.02.27	1.11431	1.12465	1.08855	1.09310	1137649	0	0
2022.03.06	1.09234	1.11213	1.08060	1.09142	1531721	0	0
2022.03.13	1.09228	1.11374	1.09003	1.10497	1133905	0	0
2022.03.20	1.10569	1.10702	1.09608	1.09846	935226	0	0
2022.03.27	1.09857	1.11848	1.09445	1.10451	1229139	0	0
2022.04.03	1.10393	1.10544	1.08364	1.08751	866847	0	1
2022.04.10	1.09050	1.09333	1.07572	1.08047	453022	0	0
2022.04.17	1.08027	1.09363	1.07610	1.08011	996295	0	0
2022.04.24	1.08047	1.08143	1.04711	1.05461	1420934	0	0
2022.05.01	1.05429	1.06418	1.04828	1.05437	1145830	0	0
2022.05.08	1.05327	1.05926	1.03491	1.04081	1196819	0	0
2022.05.15	1.03970	1.06070	1.03888	1.05580	839369	0	0
2022.05.22	1.05585	1.07652	1.05548	1.07313	793634	0	0
2022.05.29	1.07331	1.07868	1.06272	1.07166	438346	0	0
2022.06.05	1.07186	1.07738	1.05056	1.05207	508471	0	0
2022.06.12	1.05149	1.06015	1.03589	1.04962	800856	0	0
2022.06.19	1.04832	1.06059	1.04686	1.05536	637221	0	0
2022.06.26	1.05470	1.06149	1.03652	1.04263	747195	0	0
2022.07.03	1.04194	1.04626	1.00716	1.01832	828553	0	0
2022.07.10	1.01751	1.01836	0.99522	1.00859	1008781	0	0
2022.07.17	1.00824	1.02779	1.00786	1.02107	929002	0	0
2022.07.24	1.02050	1.02579	1.00966	1.02263	901751	0	0
2022.07.31	1.02140	1.02938	1.01226	1.01780	904820	0	0
2022.08.07	1.01726	1.03686	1.01592	1.02564	682298	0	0
2022.08.14	1.02558	1.02683	1.00319	1.00393	627582	0	0
2022.08.21	1.00381	1.00898	0.99006	0.99649	709926	0	0
2022.08.28	0.99641	1.00792	0.99109	0.99574	794341	0	0
2022.09.04	0.99285	1.01135	0.98640	1.00460	870612	0	0
2022.09.11	1.00942	1.01980	0.99449	1.00132	922384	0	0
2022.09.18	1.00136	1.00507	0.96681	0.96886	826524	0	0
2022.09.25	0.96774	0.98538	0.95357	0.97995	1134985	0	0
2022.10.02	0.97999	0.99994	0.97258	0.97383	890874	0	0
2022.10.09	0.97319	0.98088	0.96321	0.97240	716406	0	0
2022.10.16	0.97187	0.98757	0.97048	0.98628	1102009	0	0
2022.10.23	0.98675	1.00937	0.98066	0.99660	1103915	0	0
2022.10.30	0.99509	0.99762	0.97300	0.99592	832500	0	0
2022.11.06	0.99097	1.03643	0.99082	1.03527	1136893	0	0
2022.11.13	1.03311	1.04815	1.02714	1.03198	1156753	0	0
2022.11.20	1.03212	1.04487	1.02225	1.03888	760645	0	0
2022.11.27	1.03773	1.05451	1.02903	1.05409	1144226	0	0
2022.12.04	1.05336	1.05948	1.04432	1.05335	823946	0	0
2022.12.11	1.05299	1.07365	1.05059	1.05895	1029047	0	0
2022.12.18	1.05917	1.06592	1.05732	1.06169	855167	0	0
2022.12.25	1.06348	1.07132	1.06067	1.06977	510038	0	0
2023.01.01	1.06949	1.07076	1.04814	1.06429	864941	0	0
2023.01.08	1.06360	1.08679	1.06359	1.08326	892258	0	0
2023.01.15	1.08290	1.08874	1.07660	1.08559	797087	0	0
2023.01.22	1.08622	1.09294	1.08352	1.08674	625237	0	0
2023.01.29	1.08619	1.10330	1.07926	1.07929	850370	0	0
2023.02.05	1.07857	1.07990	1.06662	1.06784	576912	0	0
2023.02.12	1.06802	1.08028	1.06126	1.06935	653153	0	0
2023.02.19	1.06895	1.07045	1.05360	1.05446	785648	0	1
2023.02.26	1.05470	1.06914	1.05329	1.06330	829742	0	1
2023.03.05	1.06244	1.07008	1.05241	1.06388	939710	0	1
2023.03.12	1.06805	1.07598	1.05160	1.06644	1255372	0	0
2023.03.19	1.06846	1.09298	1.06310	1.07598	836009	0	0
2023.03.26	1.07721	1.09261	1.07446	1.08427	638570	0	0
2023.04.02	1.08434	1.09732	1.07881	1.08970	568702	0	2
2023.04.09	1.09020	1.10757	1.08311	1.09947	596846	0	1
2023.04.16	1.09944	1.09997	1.09090	1.09892	589593	0	1
2023.04.23	1.09894	1.10955	1.09623	1.10167	721644	0	1
2023.04.30	1.10211	1.10913	1.09419	1.10183	327017	0	1
2023.05.07	1.10186	1.10536	1.08478	1.08500	246195	0	1
2023.05.14	1.08532	1.09045	1.07600	1.08048	232684	0	1
2023.05.21	1.08061	1.08312	1.07016	1.07257	269777	0	1
2023.05.28	1.07227	1.07790	1.06351	1.07059	241331	0	1
2023.06.04	1.07087	1.07869	1.06669	1.07495	233251	0	1
2023.06.11	1.07480	1.09705	1.07331	1.09412	253357	0	1
2023.06.18	1.09351	1.10122	1.08443	1.08945	246733	0	1
2023.06.25	1.09010	1.09767	1.08349	1.09109	271976	0	1
2023.07.02	1.09121	1.09732	1.08336	1.09663	241164	0	1
2023.07.09	1.09642	1.12448	1.09434	1.12288	282561	0	1
2023.07.16	1.12259	1.12758	1.11079	1.11257	273640	0	1
2023.07.23	1.11244	1.11496	1.09434	1.10166	323846	0	0
2023.07.30	1.10184	1.10457	1.09124	1.10110	295364	0	1
2023.08.06	1.10131	1.10647	1.09291	1.09477	256460	0	1
2023.08.13	1.09518	1.09601	1.08447	1.08725	300892	0	1
2023.08.20	1.08718	1.09302	1.07658	1.07939	277416	0	1
2023.08.27	1.07959	1.09455	1.07720	1.07732	280508	0	1
2023.09.03	1.07758	1.08088	1.06861	1.07003	227147	0	1
2023.09.10	1.07137	1.07687	1.06318	1.06625	240824	0	1
2023.09.17	1.06628	1.07366	1.06147	1.06440	228953	0	1
2023.09.24	1.06517	1.06551	1.04846	1.05729	268142	0	5
2023.10.01	1.05695	1.05997	1.04481	1.05832	299783	0	5
2023.10.08	1.05518	1.06394	1.04951	1.05063	283581	0	5
2023.10.15	1.05138	1.06162	1.05060	1.05949	282540	0	5
2023.10.22	1.05932	1.06940	1.05213	1.05649	272982	0	5
2023.10.29	1.05667	1.07464	1.05165	1.07271	281298	0	5
2023.11.05	1.07247	1.07561	1.06560	1.06839	239251	0	5
2023.11.12	1.06835	1.09135	1.06648	1.09129	245912	0	4
2023.11.19	1.09098	1.09649	1.08520	1.09336	240065	0	5
2023.11.26	1.09425	1.10169	1.08280	1.08811	341917	0	5
2023.12.03	1.08791	1.08945	1.07231	1.07623	364025	0	5
2023.12.10	1.07595	1.10088	1.07414	1.08950	366093	0	5
2023.12.17	1.08951	1.10400	1.08917	1.10122	320854	0	5
2023.12.24	1.09999	1.11393	1.09996	1.10389	193860	0	5
2023.12.31	1.10452	1.10453	1.08764	1.09408	277282	0	5
2024.01.07	1.09428	1.09987	1.09103	1.09497	336854	0	5
2024.01.14	1.09465	1.09673	1.08442	1.08972	317810	0	5
2024.01.21	1.08913	1.09320	1.08125	1.08527	408179	0	4
2024.01.28	1.08407	1.08974	1.07796	1.07889	596600	0	1
2024.02.04	1.07816	1.07955	1.07223	1.07846	613806	0	0
2024.02.11	1.07817	1.08056	1.06950	1.07764	901885	0	0
2024.02.18	1.07752	1.08886	1.07616	1.08208	794535	0	0
2024.02.25	1.08237	1.08660	1.07959	1.08399	849645	0	0
2024.03.03	1.08390	1.09812	1.08360	1.09392	872911	0	0
2024.03.10	1.09394	1.09638	1.08730	1.08886	743967	0	0
2024.03.17	1.08894	1.09427	1.08018	1.08087	742950	0	0
2024.03.24	1.08074	1.08644	1.07676	1.07883	528893	0	0
2024.03.31	1.07902	1.08767	1.07247	1.08371	638456	0	0
2024.04.07	1.08364	1.08851	1.06226	1.06412	775162	0	0
2024.04.14	1.06353	1.06902	1.06012	1.06569	924135	0	0
2024.04.21	1.06564	1.07529	1.06240	1.06941	664635	0	0
2024.04.28	1.06884	1.08126	1.06495	1.07634	902667	0	0
2024.05.05	1.07617	1.07908	1.07240	1.07696	490822	0	0
2024.05.12	1.07712	1.08951	1.07656	1.08701	517152	0	0
2024.05.19	1.08666	1.08846	1.08049	1.08461	512693	0	0
2024.05.26	1.08456	1.08891	1.07883	1.08496	526187	0	0
2024.06.02	1.08458	1.09162	1.07996	1.08018	645197	0	0
2024.06.09	1.07652	1.08523	1.06677	1.07055	735473	0	0
2024.06.16	1.07051	1.07616	1.06710	1.06927	572866	0	0
2024.06.23	1.06900	1.07465	1.06661	1.07127	603904	0	0
2024.06.30	1.07451	1.08427	1.07100	1.08391	562648	0	0
2024.07.07	1.08070	1.09114	1.08055	1.09049	640872	0	0
2024.07.14	1.08871	1.09481	1.08716	1.08819	634426	0	0
2024.07.21	1.08840	1.09029	1.08255	1.08552	657384	0	0
2024.07.28	1.08571	1.09267	1.07775	1.09108	864666	0	0
2024.08.04	1.09206	1.10089	1.08813	1.09157	1266020	0	0
2024.08.11	1.09157	1.10472	1.09101	1.10266	271709	0	0
2024.08.18	1.10253	1.12007	1.10227	1.11931	294460	0	0
2024.08.25	1.11902	1.12015	1.10438	1.10483	305156	0	1
2024.09.01	1.10473	1.11556	1.10263	1.10860	308734	0	1
2024.09.08	1.10828	1.11018	1.10019	1.10744	294736	0	1
2024.09.15	1.10781	1.11890	1.10684	1.11628	360978	0	1
2024.09.22	1.11617	1.12139	1.10831	1.11591	324838	0	1
2024.09.29	1.11595	1.12088	1.09512	1.09754	361354	0	1
2024.10.06	1.09668	1.09971	1.09000	1.09354	320140	0	1
2024.10.13	1.09322	1.09367	1.08110	1.08674	254407	0	1
2024.10.20	1.08611	1.08712	1.07613	1.07955	246196	0	1
2024.10.27	1.07931	1.09057	1.07687	1.08343	685929	0	0
2024.11.03	1.08772	1.09373	1.06823	1.07177	986091	0	0
2024.11.10	1.07113	1.07280	1.04960	1.05336	908047	0	0
2024.11.17	1.05323	1.06099	1.03313	1.04178	848918	0	0
2024.11.24	1.04727	1.05973	1.04250	1.05778	961197	0	0
2024.12.01	1.05693	1.06300	1.04600	1.05681	987082	0	0
2024.12.08	1.05601	1.05946	1.04530	1.05036	1015824	0	0
2024.12.15	1.04860	1.05346	1.03427	1.04289	1028772	0	0
2024.12.22	1.04283	1.04453	1.03833	1.04243	479007	0	0
2024.12.29	1.04305	1.04585	1.02230	1.03079	671595	0	0
2025.01.05	1.03049	1.04370	1.02118	1.02446	1073647	0	0
2025.01.12	1.02410	1.03548	1.01769	1.02700	922397	0	0
2025.01.19	1.02756	1.05216	1.02662	1.04957	1257320	0	0
2025.01.26	1.04794	1.05332	1.03497	1.03584	1185328	0	0
2025.02.02	1.02461	1.04427	1.02099	1.03261	1125887	0	0
2025.02.09	1.02847	1.05142	1.02847	1.04891	851198	0	0
2025.02.16	1.04864	1.05066	1.04008	1.04596	632292	0	0
2025.02.23	1.04672	1.05288	1.03598	1.03757	806142	0	0
2025.03.02	1.04020	1.08886	1.03885	1.08361	1131994	0	0
2025.03.09	1.08336	1.09473	1.08051	1.08820	962755	0	0
2025.03.16	1.08786	1.09546	1.07959	1.08131	653538	0	0
2025.03.23	1.08132	1.08582	1.07329	1.08304	685956	0	0
2025.03.30	1.08239	1.11469	1.07779	1.09625	1234721	0	0
2025.04.06	1.08835	1.14740	1.08766	1.13516	2219291	0	0
2025.04.13	1.13173	1.14248	1.12637	1.13929	1441412	0	0
2025.04.20	1.13961	1.15735	1.13071	1.13601	1309946	0	0
2025.04.27	1.13609	1.14250	1.12656	1.12992	1063967	0	0
2025.05.04	1.13056	1.13813	1.11965	1.12479	862702	0	0
2025.05.11	1.12010	1.12659	1.10654	1.11608	869491	0	0
2025.05.18	1.11691	1.13758	1.11691	1.13646	957196	0	0
2025.05.25	1.13643	1.14190	1.12099	1.13472	891400	0	0
2025.06.01	1.13445	1.14951	1.13436	1.13930	819605	0	0
2025.06.08	1.13933	1.16316	1.13730	1.15476	926656	0	0
2025.06.15	1.15319	1.16148	1.14462	1.15220	961686	0	0
2025.06.22	1.14658	1.17539	1.14534	1.17194	911620	0	0
2025.06.29	1.17247	1.18300	1.17077	1.17752	625860	0	0
